Al Mg3;
Déplacement (mm);Force (N)
0.575578723404255;4190.79
0.575578723404255;4222.78
0.575578723404255;4222.78
0.575578723404255;4238.77
0.575578723404255;4238.77
0.575578723404255;4238.77
0.582791489361702;4222.78
0.582791489361702;4190.79
0.582791489361702;4254.77
0.582791489361702;4238.77
0.582791489361702;4254.77
0.591446808510638;4222.78
0.591446808510638;4222.78
0.591446808510638;4222.78
0.591446808510638;4206.78
0.591446808510638;4254.77
0.591446808510638;4270.77
0.591446808510638;4270.77
0.591446808510638;4270.77
0.600102127659574;4238.77
0.600102127659574;4254.77
0.600102127659574;4270.77
0.600102127659574;4254.77
0.600102127659574;4302.76
0.600102127659574;4318.75
0.600102127659574;4350.74
0.607314893617021;4318.75
0.607314893617021;4334.75
0.607314893617021;4302.76
0.607314893617021;4334.75
0.607314893617021;4334.75
0.607314893617021;4350.74
0.607314893617021;4318.75
0.615970212765957;4318.75
0.615970212765957;4334.75
0.615970212765957;4382.73
0.615970212765957;4286.76
0.615970212765957;4302.76
0.615970212765957;4318.75
0.623182978723404;4270.77
0.623182978723404;4286.76
0.623182978723404;4302.76
0.623182978723404;4302.76
0.623182978723404;4334.75
0.623182978723404;4318.75
0.623182978723404;4350.74
0.63183829787234;4334.75
0.63183829787234;4350.74
0.63183829787234;4334.75
0.63183829787234;4366.74
0.63183829787234;4350.74
0.63183829787234;4382.73
0.63183829787234;4398.73
0.640493617021277;4350.74
0.640493617021277;4398.73
0.640493617021277;4462.71
0.640493617021277;4446.71
0.640493617021277;4462.71
0.640493617021277;4414.72
0.640493617021277;4334.75
0.647706382978723;4414.72
0.647706382978723;4302.76
0.647706382978723;4334.75
0.647706382978723;4334.75
0.647706382978723;4334.75
0.647706382978723;4350.74
0.65636170212766;4334.75
0.65636170212766;4366.74
0.65636170212766;4350.74
0.65636170212766;4366.74
0.65636170212766;4366.74
0.65636170212766;4382.73
0.65636170212766;4382.73
0.663574468085106;4350.74
0.663574468085106;4350.74
0.663574468085106;4366.74
0.663574468085106;4366.74
0.663574468085106;4398.73
0.663574468085106;4382.73
0.663574468085106;4398.73
0.663574468085106;4414.72
0.672229787234043;4398.73
0.672229787234043;4398.73
0.672229787234043;4414.72
0.672229787234043;4398.73
0.672229787234043;4414.72
0.672229787234043;4414.72
0.680885106382979;4398.73
0.680885106382979;4398.73
0.680885106382979;4430.72
0.680885106382979;4430.72
0.680885106382979;4446.71
0.680885106382979;4446.71
0.680885106382979;4462.71
0.680885106382979;4446.71
0.688097872340425;4430.72
0.688097872340425;4446.71
0.688097872340425;4462.71
0.688097872340425;4462.71
0.688097872340425;4478.71
0.696753191489362;4446.71
0.696753191489362;4430.72
0.696753191489362;4462.71
0.696753191489362;4478.71
0.696753191489362;4414.72
0.696753191489362;4446.71
0.696753191489362;4510.7
0.705408510638298;4478.71
0.705408510638298;4494.7
0.705408510638298;4526.69
0.705408510638298;4494.7
0.705408510638298;4478.71
0.705408510638298;4478.71
0.705408510638298;4542.69
0.705408510638298;4526.69
0.705408510638298;4478.71
0.712621276595745;4494.7
0.712621276595745;4526.69
0.712621276595745;4494.7
0.712621276595745;4542.69
0.712621276595745;4574.68
0.721276595744681;4558.68
0.721276595744681;4526.69
0.721276595744681;4558.68
0.721276595744681;4542.69
0.721276595744681;4590.67
0.721276595744681;4606.67
0.721276595744681;4542.69
0.728489361702128;4590.67
0.728489361702128;4510.7
0.728489361702128;4494.7
0.728489361702128;4526.69
0.728489361702128;4510.7
0.728489361702128;4542.69
0.728489361702128;4542.69
0.737144680851064;4526.69
0.737144680851064;4542.69
0.737144680851064;4558.68
0.737144680851064;4542.69
0.737144680851064;4574.68
0.737144680851064;4590.67
0.7458;4558.68
0.7458;4574.68
0.7458;4590.67
0.7458;4574.68
0.7458;4590.67
0.7458;4590.67
0.7458;4606.67
0.7458;4590.67
0.7458;4590.67
0.7458;4606.67
0.753012765957447;4590.67
0.753012765957447;4590.67
0.753012765957447;4606.67
0.753012765957447;4590.67
0.761668085106383;4590.67
0.761668085106383;4590.67
0.761668085106383;4638.66
0.761668085106383;4654.65
0.761668085106383;4686.64
0.761668085106383;4702.64
0.761668085106383;4574.68
0.76888085106383;4686.64
0.76888085106383;4526.69
0.76888085106383;4574.68
0.76888085106383;4574.68
0.76888085106383;4558.68
0.76888085106383;4574.68
0.76888085106383;4590.67
0.76888085106383;4590.67
0.777536170212766;4558.68
0.777536170212766;4574.68
0.777536170212766;4574.68
0.777536170212766;4590.67
0.777536170212766;4574.68
0.777536170212766;4606.67
0.777536170212766;4574.68
0.777536170212766;4606.67
0.777536170212766;4606.67
0.786191489361702;4590.67
0.786191489361702;4590.67
0.786191489361702;4622.66
0.786191489361702;4606.67
0.786191489361702;4622.66
0.793404255319149;4606.67
0.793404255319149;4622.66
0.793404255319149;4606.67
0.793404255319149;4622.66
0.793404255319149;4638.66
0.802059574468085;4606.67
0.802059574468085;4606.67
0.802059574468085;4638.66
0.802059574468085;4622.66
0.802059574468085;4654.65
0.802059574468085;4654.65
0.810714893617021;4638.66
0.810714893617021;4654.65
0.810714893617021;4670.65
0.810714893617021;4654.65
0.810714893617021;4670.65
0.810714893617021;4638.66
0.810714893617021;4670.65
0.817927659574468;4654.65
0.817927659574468;4686.64
0.817927659574468;4654.65
0.817927659574468;4686.64
0.817927659574468;4654.65
0.817927659574468;4670.65
0.817927659574468;4670.65
0.817927659574468;4702.64
0.826582978723404;4654.65
0.826582978723404;4670.65
0.826582978723404;4686.64
0.826582978723404;4686.64
0.826582978723404;4654.65
0.826582978723404;4702.64
0.826582978723404;4686.64
0.826582978723404;4750.63
0.833795744680851;4702.64
0.833795744680851;4702.64
0.833795744680851;4734.63
0.833795744680851;4766.62
0.833795744680851;4702.64
0.842451063829787;4734.63
0.842451063829787;4702.64
0.842451063829787;4734.63
0.842451063829787;4686.64
0.842451063829787;4718.64
0.842451063829787;4734.63
0.842451063829787;4750.63
0.842451063829787;4782.62
0.851106382978723;4734.63
0.851106382978723;4766.62
0.851106382978723;4798.61
0.851106382978723;4798.61
0.851106382978723;4798.61
0.85831914893617;4782.62
0.85831914893617;4782.62
0.85831914893617;4766.62
0.85831914893617;4782.62
0.85831914893617;4750.63
0.85831914893617;4766.62
0.85831914893617;4734.63
0.866974468085106;4750.63
0.866974468085106;4718.64
0.866974468085106;4766.62
0.866974468085106;4782.62
0.866974468085106;4798.61
0.866974468085106;4702.64
0.866974468085106;4734.63
0.866974468085106;4734.63
0.874187234042553;4718.64
0.874187234042553;4734.63
0.874187234042553;4750.63
0.874187234042553;4734.63
0.874187234042553;4766.62
0.882842553191489;4750.63
0.882842553191489;4782.62
0.882842553191489;4766.62
0.882842553191489;4830.6
0.882842553191489;4862.59
0.891497872340426;4718.64
0.891497872340426;4782.62
0.891497872340426;4814.61
0.891497872340426;4862.59
0.891497872340426;4894.58
0.891497872340426;4862.59
0.891497872340426;4862.59
0.891497872340426;4846.6
0.891497872340426;4894.58
0.891497872340426;4926.58
0.898710638297872;4894.58
0.898710638297872;4734.63
0.898710638297872;4782.62
0.898710638297872;4782.62
0.898710638297872;4782.62
0.898710638297872;4782.62
0.907365957446809;4766.62
0.907365957446809;4766.62
0.907365957446809;4782.62
0.907365957446809;4766.62
0.907365957446809;4798.61
0.907365957446809;4798.61
0.907365957446809;4798.61
0.916021276595745;4782.62
0.916021276595745;4782.62
0.916021276595745;4782.62
0.916021276595745;4798.61
0.916021276595745;4814.61
0.923234042553192;4782.62
0.923234042553192;4798.61
0.923234042553192;4814.61
0.923234042553192;4798.61
0.923234042553192;4814.61
0.923234042553192;4798.61
0.923234042553192;4830.6
0.923234042553192;4830.6
0.931889361702128;4814.61
0.931889361702128;4814.61
0.931889361702128;4830.6
0.931889361702128;4830.6
0.931889361702128;4830.6
0.939102127659574;4814.61
0.939102127659574;4814.61
0.939102127659574;4814.61
0.939102127659574;4846.6
0.939102127659574;4830.6
0.939102127659574;4862.59
0.939102127659574;4862.59
0.939102127659574;4862.59
0.947757446808511;4846.6
0.947757446808511;4846.6
0.947757446808511;4846.6
0.947757446808511;4862.59
0.947757446808511;4862.59
0.947757446808511;4878.59
0.956412765957447;4846.6
0.956412765957447;4846.6
0.956412765957447;4846.6
0.956412765957447;4878.59
0.956412765957447;4846.6
0.956412765957447;4862.59
0.956412765957447;4878.59
0.963625531914894;4846.6
0.963625531914894;4846.6
0.963625531914894;4862.59
0.963625531914894;4862.59
0.963625531914894;4894.58
0.963625531914894;4878.59
0.963625531914894;4910.58
0.97228085106383;4878.59
0.97228085106383;4862.59
0.97228085106383;4862.59
0.97228085106383;4894.58
0.97228085106383;4894.58
0.979493617021277;4894.58
0.979493617021277;4862.59
0.979493617021277;4910.58
0.979493617021277;4910.58
0.979493617021277;4910.58
0.979493617021277;4878.59
0.979493617021277;4910.58
0.979493617021277;4942.57
0.988148936170213;4910.58
0.988148936170213;4926.58
0.988148936170213;4942.57
0.988148936170213;4926.58
0.988148936170213;4974.56
0.988148936170213;4990.56
0.988148936170213;5022.55
0.988148936170213;4910.58
0.996804255319149;4862.59
0.996804255319149;4926.58
0.996804255319149;4974.56
0.996804255319149;4910.58
0.996804255319149;4974.56
0.996804255319149;4958.57
1.0040170212766;4942.57
1.0040170212766;4958.57
1.0040170212766;4974.56
1.0040170212766;4958.57
1.0040170212766;4990.56
1.0040170212766;4910.58
1.0040170212766;4942.57
1.01267234042553;4958.57
1.01267234042553;4990.56
1.01267234042553;4974.56
1.01267234042553;5006.55
1.01267234042553;5022.55
1.02132765957447;5006.55
1.02132765957447;4990.56
1.02132765957447;4990.56
1.02132765957447;4926.58
1.02132765957447;4958.57
1.02132765957447;4926.58
1.02132765957447;4926.58
1.02132765957447;4926.58
1.02854042553192;4910.58
1.02854042553192;4910.58
1.02854042553192;4926.58
1.02854042553192;4926.58
1.02854042553192;4958.57
