X2 Cr Ni 19-11;
Déplacement (mm);Force (N)
0.201235;8717.48
0.201235;8717.48
0.201235;8717.48
0.201235;8733.47
0.201235;8733.47
0.201235;8749.47
0.201235;8765.47
0.206245;8749.47
0.206245;8765.47
0.206245;8765.47
0.206245;8765.47
0.206245;8781.46
0.206245;8781.46
0.206245;8781.46
0.206245;8781.46
0.206245;8797.46
0.206245;8797.46
0.206245;8797.46
0.211255;8797.46
0.211255;8813.45
0.211255;8813.45
0.211255;8829.45
0.211255;8813.45
0.211255;8845.44
0.211255;8829.45
0.211255;8845.44
0.211255;8845.44
0.211255;8861.44
0.211255;8877.43
0.211255;8877.43
0.211255;8877.43
0.211255;8893.43
0.21543;8877.43
0.21543;8893.43
0.21543;8893.43
0.21543;8893.43
0.21543;8893.43
0.21543;8909.42
0.21543;8893.43
0.21543;8909.42
0.21543;8909.42
0.21543;8925.42
0.21543;8925.42
0.22044;8925.42
0.22044;8925.42
0.22044;8941.41
0.22044;8941.41
0.22044;8957.41
0.22044;8957.41
0.22044;8957.41
0.22044;8957.41
0.22044;8973.41
0.22044;8973.41
0.22044;8989.4
0.22044;8973.41
0.22044;8989.4
0.22044;9005.4
0.22044;9005.4
0.22545;8989.4
0.22545;8989.4
0.22545;9005.4
0.22545;9021.39
0.22545;9021.39
0.22545;9037.39
0.22545;9037.39
0.22545;9037.39
0.22545;9037.39
0.22545;9037.39
0.22545;9053.38
0.229625;9037.39
0.229625;9053.38
0.229625;9053.38
0.229625;9053.38
0.229625;9069.38
0.229625;9069.38
0.229625;9085.37
0.229625;9085.37
0.229625;9085.37
0.229625;9085.37
0.229625;9101.37
0.229625;9101.37
0.234635;9101.37
0.234635;9101.37
0.234635;9117.36
0.234635;9117.36
0.234635;9117.36
0.234635;9117.36
0.234635;9133.36
0.234635;9133.36
0.234635;9133.36
0.234635;9133.36
0.234635;9149.35
0.234635;9149.35
0.234635;9165.35
0.23881;9133.36
0.23881;9149.35
0.23881;9165.35
0.23881;9181.35
0.23881;9181.35
0.23881;9197.34
0.23881;9197.34
0.23881;9197.34
0.23881;9197.34
0.23881;9197.34
0.23881;9197.34
0.23881;9197.34
0.24382;9197.34
0.24382;9213.34
0.24382;9213.34
0.24382;9213.34
0.24382;9213.34
0.24382;9229.33
0.24382;9229.33
0.24382;9229.33
0.24382;9229.33
0.24382;9245.33
0.24382;9245.33
0.24382;9245.33
0.24382;9261.32
0.24883;9245.33
0.24883;9261.32
0.24883;9261.32
0.24883;9261.32
0.24883;9277.32
0.24883;9277.32
0.24883;9277.32
0.24883;9277.32
0.24883;9277.32
0.24883;9277.32
0.24883;9261.32
0.253005;9277.32
0.253005;9277.32
0.253005;9277.32
0.253005;9261.32
0.253005;9245.33
0.253005;9245.33
0.253005;9245.33
0.253005;9245.33
0.253005;9261.32
0.253005;9261.32
0.253005;9293.31
0.253005;9325.3
0.253005;9325.3
0.258015;9277.32
0.258015;9309.31
0.258015;9325.3
0.258015;9325.3
0.258015;9341.3
0.258015;9341.3
0.258015;9341.3
0.258015;9341.3
0.258015;9357.29
0.258015;9357.29
0.258015;9357.29
0.258015;9357.29
0.258015;9357.29
0.258015;9357.29
0.258015;9357.29
0.258015;9373.29
0.26219;9357.29
0.26219;9373.29
0.26219;9389.29
0.26219;9389.29
0.26219;9389.29
0.26219;9389.29
0.26219;9389.29
0.26219;9389.29
0.26219;9405.28
0.26219;9405.28
0.26219;9405.28
0.26219;9405.28
0.26219;9421.28
0.26219;9437.27
0.26219;9453.27
0.2672;9453.27
0.2672;9469.26
0.2672;9469.26
0.2672;9469.26
0.2672;9469.26
0.2672;9469.26
0.2672;9469.26
0.2672;9469.26
0.2672;9469.26
0.2672;9469.26
0.2672;9469.26
0.2672;9485.26
0.2672;9485.26
0.27221;9469.26
0.27221;9469.26
0.27221;9469.26
0.27221;9469.26
0.27221;9469.26
0.27221;9469.26
0.27221;9469.26
0.27221;9469.26
0.27221;9485.26
0.27221;9485.26
0.27221;9501.25
0.27221;9517.25
0.276385;9501.25
0.276385;9517.25
0.276385;9533.24
0.276385;9549.24
0.276385;9549.24
0.276385;9565.23
0.276385;9565.23
0.276385;9565.23
0.276385;9565.23
0.276385;9565.23
0.276385;9565.23
0.276385;9565.23
0.276385;9565.23
0.281395;9565.23
0.281395;9565.23
0.281395;9565.23
0.281395;9565.23
0.281395;9565.23
0.281395;9565.23
0.281395;9565.23
0.281395;9565.23
0.281395;9565.23
0.281395;9565.23
0.281395;9565.23
0.281395;9565.23
0.286405;9581.23
0.286405;9597.23
0.286405;9597.23
0.286405;9613.22
0.286405;9629.22
0.286405;9645.21
0.286405;9645.21
0.286405;9645.21
0.286405;9645.21
0.286405;9645.21
0.286405;9645.21
0.286405;9645.21
0.286405;9645.21
0.29058;9645.21
0.29058;9645.21
0.29058;9661.21
0.29058;9645.21
0.29058;9645.21
0.29058;9645.21
0.29058;9645.21
0.29058;9645.21
0.29058;9645.21
0.29058;9645.21
0.29058;9661.21
0.29058;9677.2
0.29559;9661.21
0.29559;9677.2
0.29559;9693.2
0.29559;9693.2
0.29559;9709.19
0.29559;9709.19
0.29559;9709.19
0.29559;9709.19
0.29559;9709.19
0.29559;9709.19
0.29559;9709.19
0.29559;9709.19
0.29559;9693.2
0.29559;9693.2
0.29559;9709.19
0.29559;9709.19
0.29559;9709.19
0.299765;9709.19
0.299765;9709.19
0.299765;9725.19
0.299765;9725.19
0.299765;9741.18
0.299765;9757.18
0.299765;9773.17
0.299765;9789.17
0.299765;9789.17
0.299765;9789.17
0.299765;9805.17
0.304775;9789.17
0.304775;9789.17
0.304775;9805.17
0.304775;9805.17
0.304775;9805.17
0.304775;9805.17
0.304775;9805.17
0.304775;9805.17
0.309785;9789.17
0.309785;9789.17
0.309785;9789.17
0.309785;9789.17
0.309785;9773.17
0.309785;9773.17
0.309785;9773.17
0.309785;9773.17
0.309785;9789.17
0.309785;9789.17
0.309785;9805.17
0.309785;9805.17
0.309785;9821.16
0.309785;9837.16
0.31396;9837.16
0.31396;9853.15
0.31396;9853.15
0.31396;9853.15
0.31396;9853.15
0.31396;9853.15
0.31396;9853.15
0.31396;9853.15
0.31396;9853.15
0.31897;9853.15
0.31897;9853.15
0.31897;9853.15
0.31897;9853.15
0.31897;9853.15
0.31897;9853.15
0.31897;9853.15
0.31897;9853.15
0.31897;9869.15
0.31897;9869.15
0.31897;9885.14
0.31897;9901.14
0.31897;9917.13
0.31897;9933.13
0.31897;9949.12
0.31897;9949.12
0.323145;9933.13
0.323145;9949.12
0.323145;9933.13
0.323145;9949.12
0.323145;9933.13
0.323145;9949.12
0.323145;9933.13
0.323145;9933.13
0.323145;9917.13
0.328155;9933.13
0.328155;9933.13
0.328155;9917.13
0.328155;9917.13
0.328155;9917.13
0.328155;9901.14
0.328155;9917.13
0.328155;9917.13
0.328155;9917.13
0.328155;9933.13
0.328155;9949.12
0.328155;9965.12
0.328155;9981.11
0.328155;9981.11
0.328155;9997.11
0.328155;9997.11
0.328155;9997.11
0.333165;9997.11
0.333165;10013.1
0.333165;10013.1
0.333165;9997.11
0.333165;9997.11
0.333165;9997.11
0.333165;9997.11
0.333165;9997.11
0.33734;9997.11
0.33734;9997.11
0.33734;9997.11
0.33734;9997.11
0.33734;9997.11
0.33734;9997.11
0.33734;9981.11
0.33734;9997.11
0.33734;9981.11
0.33734;9997.11
0.33734;9997.11
0.33734;10013.1
0.33734;10013.1
0.33734;10029.1
0.33734;10029.1
0.33734;10045.1
0.33734;10061.09
0.34235;10045.1
0.34235;10061.09
0.34235;10061.09
0.34235;10061.09
0.34235;10061.09
0.34235;10045.1
0.34235;10061.09
0.34235;10061.09
0.34235;10061.09
0.34235;10061.09
0.34235;10077.09
0.34235;10077.09
0.34235;10077.09
0.34235;10093.08
0.34736;10093.08
0.34736;10093.08
0.34736;10093.08
0.34736;10093.08
0.34736;10093.08
0.34736;10077.09
0.34736;10077.09
0.34736;10093.08
0.34736;10109.08
0.351535;10093.08
0.351535;10093.08
0.351535;10109.08
0.351535;10109.08
0.351535;10109.08
0.351535;10125.07
0.351535;10125.07
0.351535;10125.07
0.351535;10125.07
0.351535;10125.07
0.351535;10125.07
0.351535;10125.07
0.351535;10109.08
0.351535;10109.08
0.351535;10125.07
0.356545;10109.08
0.356545;10141.07
0.356545;10157.06
0.356545;10157.06
0.356545;10189.05
0.356545;10189.05
0.356545;10205.05
0.356545;10205.05
0.356545;10205.05
0.356545;10205.05
0.356545;10205.05
0.356545;10205.05
0.356545;10205.05
0.36072;10205.05
0.36072;10205.05
0.36072;10205.05
0.36072;10205.05
0.36072;10189.05
0.36072;10189.05
0.36072;10189.05
0.36072;10189.05
0.36072;10189.05
0.36072;10189.05
0.36573;10173.06
0.36573;10189.05
0.36573;10189.05
0.36573;10205.05
0.36573;10205.05
0.36573;10205.05
0.36573;10205.05
0.36573;10205.05
0.36573;10205.05
0.36573;10221.04
0.36573;10221.04
0.36573;10221.04
0.36573;10237.04
0.36573;10237.04
0.36573;10237.04
0.36573;10253.04
0.37074;10253.04
0.37074;10253.04
0.37074;10253.04
0.37074;10253.04
0.37074;10253.04
0.37074;10253.04
0.37074;10253.04
0.37074;10253.04
0.37074;10253.04
0.37074;10253.04
0.37074;10269.03
0.37074;10285.03
0.37074;10301.02
0.37074;10317.02
0.374915;10285.03
0.374915;10301.02
0.374915;10317.02
0.374915;10317.02
0.374915;10301.02
0.374915;10301.02
0.374915;10301.02
0.374915;10301.02
0.374915;10301.02
0.374915;10301.02
0.379925;10301.02
0.379925;10301.02
0.379925;10301.02
0.379925;10301.02
0.379925;10301.02
0.379925;10301.02
0.379925;10301.02
0.379925;10317.02
0.379925;10317.02
0.379925;10333.01
0.379925;10349.01
0.3841;10317.02
0.3841;10333.01
0.3841;10349.01
0.3841;10349.01
0.3841;10349.01
0.3841;10349.01
0.3841;10349.01
0.3841;10349.01
0.3841;10349.01
0.3841;10349.01
0.3841;10349.01
0.3841;10349.01
0.3841;10349.01
0.3841;10349.01
0.3841;10349.01
0.3841;10365
0.38911;10349.01
0.38911;10381
0.38911;10396.99
0.38911;10396.99
0.38911;10412.99
0.38911;10396.99
0.38911;10396.99
0.38911;10396.99
0.38911;10396.99
0.38911;10396.99
0.38911;10396.99
0.39412;10396.99
0.39412;10396.99
0.39412;10396.99
0.39412;10396.99
0.39412;10381
0.39412;10381
0.39412;10381
0.39412;10381
0.39412;10396.99
0.39412;10396.99
0.39412;10412.99
0.39412;10444.98
0.39412;10476.97
0.398295;10460.98
0.398295;10476.97
0.398295;10492.97
0.398295;10476.97
0.398295;10476.97
0.398295;10476.97
0.398295;10460.98
0.398295;10460.98
0.398295;10460.98
0.398295;10460.98
0.398295;10444.98
0.398295;10444.98
0.398295;10444.98
0.403305;10428.98
0.403305;10428.98
0.403305;10428.98
0.403305;10428.98
0.403305;10444.98
0.403305;10460.98
0.403305;10476.97
0.403305;10492.97
0.403305;10492.97
0.403305;10524.96
0.408315;10508.96
0.408315;10524.96
0.408315;10508.96
0.408315;10508.96
0.408315;10492.97
0.408315;10492.97
0.408315;10492.97
0.408315;10492.97
0.408315;10492.97
0.408315;10492.97
0.408315;10492.97
0.408315;10492.97
0.408315;10492.97
0.41249;10492.97
0.41249;10508.96
0.41249;10508.96
0.41249;10508.96
0.41249;10524.96
0.41249;10524.96
0.41249;10540.95
0.41249;10540.95
0.41249;10540.95
0.41249;10540.95
0.41249;10540.95
0.41249;10540.95
0.41249;10540.95
0.41249;10524.96
0.41249;10524.96
0.41249;10524.96
0.41249;10524.96
0.4175;10524.96
0.4175;10524.96
0.4175;10540.95
0.4175;10540.95
0.4175;10556.95
0.4175;10572.94
0.4175;10572.94
0.4175;10604.93
0.4175;10604.93
0.421675;10604.93
0.421675;10604.93
0.421675;10604.93
0.421675;10588.94
0.421675;10588.94
0.421675;10588.94
0.421675;10588.94
0.421675;10588.94
0.421675;10588.94
0.421675;10588.94
0.421675;10588.94
0.421675;10588.94
0.421675;10588.94
0.421675;10588.94
0.421675;10604.93
0.426685;10588.94
0.426685;10588.94
0.426685;10620.93
0.426685;10636.92
0.426685;10636.92
0.426685;10652.92
0.426685;10652.92
0.426685;10652.92
0.426685;10652.92
0.426685;10652.92
0.431695;10636.92
0.431695;10636.92
0.431695;10620.93
0.431695;10620.93
0.431695;10620.93
0.431695;10620.93
0.431695;10604.93
0.431695;10620.93
0.431695;10620.93
0.431695;10620.93
0.431695;10636.92
0.431695;10652.92
0.431695;10668.92
0.431695;10684.91
0.431695;10684.91
0.43587;10668.92
0.43587;10684.91
0.43587;10684.91
0.43587;10684.91
0.43587;10684.91
0.43587;10684.91
0.43587;10684.91
0.44088;10684.91
0.44088;10684.91
0.44088;10668.92
0.44088;10668.92
0.44088;10668.92
0.44088;10668.92
0.44088;10668.92
0.44088;10684.91
0.44088;10684.91
0.44088;10700.91
0.44088;10700.91
0.44088;10716.9
0.44088;10732.9
0.44088;10732.9
0.44088;10732.9
0.445055;10732.9
0.445055;10732.9
0.445055;10732.9
0.445055;10716.9
0.445055;10716.9
0.445055;10716.9
0.445055;10716.9
0.445055;10716.9
0.445055;10716.9
0.445055;10700.91
0.445055;10700.91
0.445055;10716.9
0.445055;10716.9
0.445055;10716.9
0.445055;10732.9
0.450065;10748.89
0.450065;10764.89
0.450065;10780.88
0.450065;10780.88
0.450065;10780.88
0.450065;10780.88
0.450065;10780.88
0.450065;10764.89
0.450065;10764.89
0.450065;10764.89
0.450065;10780.88
0.450065;10764.89
0.455075;10764.89
0.455075;10764.89
0.455075;10764.89
0.455075;10748.89
0.455075;10764.89
0.455075;10764.89
0.455075;10764.89
0.455075;10780.88
0.455075;10796.88
0.455075;10812.87
0.455075;10828.87
0.455075;10796.88
0.45925;10828.87
0.45925;10828.87
0.45925;10828.87
0.45925;10812.87
0.45925;10796.88
0.45925;10796.88
0.45925;10796.88
0.45925;10796.88
0.45925;10796.88
0.45925;10796.88
0.45925;10796.88
0.45925;10828.87
0.45925;10844.86
0.46426;10796.88
0.46426;10812.87
0.46426;10844.86
0.46426;10860.86
0.46426;10860.86
0.46426;10860.86
0.46426;10860.86
0.46426;10844.86
0.46426;10844.86
0.46426;10844.86
0.46927;10844.86
0.46927;10844.86
0.46927;10844.86
0.46927;10844.86
0.46927;10844.86
0.46927;10844.86
0.46927;10844.86
0.46927;10844.86
0.46927;10844.86
0.46927;10844.86
0.46927;10844.86
0.46927;10844.86
0.46927;10860.86
0.46927;10892.85
0.473445;10876.86
0.473445;10892.85
0.473445;10892.85
0.473445;10908.85
0.473445;10908.85
0.473445;10892.85
0.473445;10892.85
0.473445;10892.85
0.473445;10876.86
0.473445;10876.86
0.473445;10876.86
0.473445;10892.85
0.478455;10892.85
0.478455;10876.86
0.478455;10876.86
0.478455;10892.85
0.478455;10908.85
0.478455;10924.84
0.478455;10940.84
0.478455;10940.84
0.478455;10956.83
0.478455;10956.83
0.478455;10956.83
0.478455;10940.84
0.478455;10940.84
0.478455;10940.84
0.478455;10924.84
0.48263;10924.84
0.48263;10924.84
0.48263;10924.84
0.48263;10924.84
0.48263;10924.84
0.48263;10924.84
0.48263;10940.84
0.48263;10940.84
0.48263;10956.83
0.48263;10972.83
0.48263;10972.83
0.48263;10972.83
0.48263;10972.83
0.48764;10972.83
0.48764;10956.83
0.48764;10956.83
0.48764;10940.84
0.48764;10940.84
0.48764;10940.84
0.48764;10956.83
0.48764;10956.83
0.48764;10972.83
0.48764;10972.83
0.48764;10988.82
0.48764;11004.82
0.48764;11004.82
0.49265;11004.82
0.49265;11004.82
0.49265;11004.82
0.49265;10988.82
0.49265;10988.82
0.49265;10988.82
0.49265;11004.82
0.49265;11004.82
0.49265;11004.82
0.49265;10988.82
0.49265;10988.82
0.49265;10972.83
0.49265;10972.83
0.496825;10972.83
0.496825;10972.83
0.496825;10988.82
0.496825;10988.82
0.496825;11004.82
0.496825;11020.81
0.496825;11036.81
0.496825;11052.8
0.496825;11068.8
0.496825;11068.8
0.496825;11052.8
0.496825;11052.8
0.496825;11036.81
0.501835;11036.81
0.501835;11020.81
0.501835;11020.81
0.501835;11020.81
0.501835;11020.81
0.501835;11020.81
0.501835;11020.81
0.501835;11020.81
0.501835;11020.81
0.501835;11036.81
0.501835;11036.81
0.50601;11036.81
0.50601;11052.8
0.50601;11068.8
0.50601;11084.8
0.50601;11084.8
0.50601;11100.79
0.50601;11100.79
0.50601;11100.79
0.50601;11100.79
0.50601;11100.79
0.50601;11084.8
0.50601;11084.8
0.50601;11084.8
0.51102;11068.8
0.51102;11068.8
0.51102;11068.8
0.51102;11068.8
0.51102;11068.8
0.51102;11084.8
0.51102;11084.8
0.51102;11100.79
0.51102;11100.79
0.51102;11100.79
0.51102;11116.79
0.51102;11116.79
0.51102;11116.79
0.51102;11100.79
0.51603;11100.79
0.51603;11100.79
0.51603;11100.79
0.51603;11100.79
0.51603;11100.79
0.51603;11100.79
0.51603;11100.79
0.51603;11116.79
0.51603;11132.78
0.51603;11148.78
0.51603;11164.77
0.51603;11180.77
0.520205;11180.77
0.520205;11180.77
0.520205;11180.77
0.520205;11180.77
0.520205;11164.77
0.520205;11148.78
0.520205;11148.78
0.520205;11148.78
0.520205;11148.78
0.520205;11148.78
0.520205;11132.78
0.525215;11148.78
0.525215;11148.78
0.525215;11148.78
0.525215;11132.78
