Az_1;Az_2
0,265017139;0,784350966
0,265732214;0,786183562
0,266447546;0,788016157
0,267163134;0,789848753
0,267878978;0,791681349
0,268595076;0,793513944
0,269311428;0,79534654
0,270027466;0,797179136
0,270744891;0,799011732
0,271462;0,800844327
0,27217936;0,802676923
0,27289697;0,804509519
0,273614829;0,806342114
0,274332936;0,80817471
0,27505129;0,810004883
0,275769892;0,811839902
0,276488739;0,813672497
0,277207832;0,815505093
0,277927169;0,817337689
0,27864675;0,819170284
0,279366573;0,82100288
0,28008606;0,822835476
0,280806946;0,824668072
0,281527494;0,826500667
0,282248281;0,828333263
0,282969308;0,830165859
0,283690573;0,831998454
0,284412076;0,83383105
0,285133815;0,835663646
0,285855791;0,837496242
0,286578002;0,839328837
0,287300448;0,841161433
0,288023127;0,842994029
0,28874604;0,844826624
0,289469185;0,84665922
0,290192562;0,848491816
0,29091617;0,850324412
0,291640008;0,852157007
0,292364076;0,853989603
0,293088373;0,855822199
0,293812897;0,857654794
0,294537649;0,85948739
0,295262628;0,861319986
0,295987833;0,863152582
0,296713263;0,864985177
0,297438917;0,866817773
0,298164796;0,868650369
0,298890897;0,870482964
0,299617221;0,87231556
0,300343767;0,874148156
0,301070534;0,875980752
0,301797521;0,877813347
0,302524728;0,879645943
0,303252154;0,881478539
0,303979799;0,883311134
0,304707661;0,88514373
0,30543574;0,886976326
0,306164035;0,888808922
0,306892546;0,890641517
0,307621271;0,892474113
0,308350212;0,894306709
0,309079365;0,896139304
0,309808732;0,8979719
0,310538311;0,899804496
0,311268101;0,901637092
0,311998103;0,903469687
0,312728315;0,905302283
0,313458736;0,907134879
0,314189367;0,908967474
0,314920205;0,91080007
0,315651252;0,912632666
0,316382505;0,914465262
0,317113965;0,916297857
0,317845631;0,918130453
0,318577502;0,919963049
0,319309577;0,921795644
0,320041504;0,92362824
0,320774339;0,925460836
0,321507024;0,927293432
0,322239911;0,929126027
0,322972999;0,930958623
0,323706288;0,932791219
0,324439777;0,934623814
0,325173465;0,93645641
0,325907353;0,938289006
0,326641438;0,940121602
0,327375721;0,941954197
0,328110201;0,943786793
0,328844878;0,945619389
0,32957975;0,947451984
0,330314817;0,94928458
0,331050079;0,951117176
0,331785535;0,952949772
0,332521184;0,954782367
0,333257026;0,956614963
0,33399306;0,958447559
0,334729286;0,960280154
0,335465702;0,96211275
0,336202309;0,963945346
0,336939106;0,965777942
0,337676092;0,967610537
0,338413266;0,969443133
0,339150628;0,971275729
0,339888178;0,973108324
0,340625915;0,97494092
0,341363838;0,976773516
0,342101946;0,978606112
0,34284024;0,980438707
0,343578718;0,982271303
0,34431738;0,984103899
0,345056225;0,985936494
0,345795254;0,98776909
0,346534464;0,989601686
0,347273856;0,991434282
0,348013429;0,993266877
0,348753183;0,995099473
0,349493117;0,996932069
0,35023323;0,998764664
0,350973522;1,00059726
0,351713992;1,002429856
0,35245464;1,004262452
0,353195466;1,006095047
0,353936468;1,007927643
0,354677646;1,009760239
0,355418999;1,011592834
0,356160528;1,01342543
0,356902231;1,015258026
0,357644107;1,017090622
0,358386158;1,018923217
0,359128381;1,020755813
0,359870776;1,022588409
0,360613343;1,024421004
0,361356082;1,0262536
0,362098991;1,028086196
0,36284207;1,029918791
0,363585319;1,031751387
0,364328736;1,033583983
0,365072323;1,035416579
0,365816077;1,037249174
0,366559999;1,03908177
0,367304088;1,040914366
0,368048344;1,042746961
0,368792765;1,044579557
0,369537352;1,046412153
0,370282104;1,048244749
0,37102702;1,050075684
0,3717721;1,05190994
0,372517343;1,053742536
0,37326275;1,055575131
0,374008318;1,057407727
0,374754049;1,059240323
0,375499941;1,061072919
0,376245993;1,062905514
0,376992206;1,06473811
0,377738579;1,066570706
0,378485111;1,068403301
0,379231802;1,070235897
0,379978652;1,072068493
0,380725659;1,073901089
0,381472823;1,075733684
0,382220145;1,07756628
0,382967623;1,079398876
0,383715256;1,081231471
0,384463045;1,083064067
0,385210989;1,084896663
0,385959087;1,086729259
0,38670734;1,088561854
0,387455745;1,09039445
0,388204304;1,092227046
0,388953015;1,094059641
0,389701878;1,095892237
0,390450893;1,097724833
0,391200058;1,099557429
0,391949375;1,101390024
0,392698841;1,10322262
0,393448457;1,105055216
0,394198222;1,106887811
0,394948136;1,108720407
0,395698198;1,110553003
0,396448407;1,112385599
0,397198764;1,114218194
0,397949268;1,11605079
0,398699918;1,117883386
0,399450714;1,119715981
0,400201656;1,121548577
0,400952742;1,123381173
0,401703973;1,125213769
0,402455348;1,127046364
0,403206867;1,12887896
0,403958528;1,130711556
0,404710333;1,132544151
0,405462279;1,134376747
0,406214368;1,136209343
0,406966597;1,138041939
0,407718968;1,139874534
0,408471479;1,14170713
0,40922413;1,143539726
0,409976921;1,145372321
0,41072985;1,147204917
0,411482919;1,149037513
0,412236125;1,150870109
0,412989469;1,152702704
0,413742951;1,1545353
0,41449657;1,156367896
0,415250325;1,158200491
0,416004216;1,160031738
0,416758242;1,161865683
0,417512404;1,163698278
0,4182667;1,165530874
0,419021131;1,16736347
0,419775696;1,169196066
0,420530394;1,171028661
0,421285225;1,172861257
0,422040189;1,174693853
0,422795284;1,176526448
