S 235;;
Deplacement (mm);Force (N);
0.0261488673139159;1279.63;
0.0261488673139159;1343.61;
0.0261488673139159;1423.59;
0.0289505316689783;1487.57;
0.0289505316689783;1567.55;
0.0289505316689783;1631.53;
0.0289505316689783;1695.51;
0.0289505316689783;1743.5;
0.0289505316689783;1807.48;
0.0289505316689783;1855.46;
0.0289505316689783;1903.45;
0.0289505316689783;1999.42;
0.0312852519648636;1935.44;
0.0312852519648636;2031.41;
0.0312852519648636;2063.4;
0.0312852519648636;2079.4;
0.0312852519648636;2111.39;
0.0312852519648636;2111.39;
0.0312852519648636;2143.38;
0.0312852519648636;2159.38;
0.0312852519648636;2175.37;
0.0312852519648636;2191.37;
0.034086916319926;2143.38;
0.034086916319926;2159.38;
0.034086916319926;2175.37;
0.034086916319926;2191.37;
0.034086916319926;2207.36;
0.034086916319926;2223.36;
0.034086916319926;2239.35;
0.034086916319926;2255.35;
0.034086916319926;2287.34;
0.034086916319926;2319.33;
0.034086916319926;2351.32;
0.034086916319926;2367.32;
0.034086916319926;2415.3;
0.0368885806749884;2431.3;
0.0368885806749884;2463.29;
0.0368885806749884;2479.28;
0.0368885806749884;2511.27;
0.0368885806749884;2527.27;
0.0368885806749884;2559.26;
0.0368885806749884;2623.24;
0.0368885806749884;2687.22;
0.0392233009708738;2591.25;
0.0392233009708738;2655.23;
0.0392233009708738;2719.21;
0.0392233009708738;2751.2;
0.0392233009708738;2783.2;
0.0392233009708738;2815.19;
0.0420249653259363;2847.18;
0.0420249653259363;2879.17;
0.0420249653259363;2911.16;
0.0420249653259363;2959.14;
0.0420249653259363;2991.14;
0.0420249653259363;3039.12;
0.0420249653259363;3119.1;
0.0420249653259363;3183.08;
0.0443596856218215;3071.11;
0.0443596856218215;3151.09;
0.0443596856218215;3215.07;
0.0443596856218215;3263.06;
0.0443596856218215;3295.05;
0.0443596856218215;3359.03;
0.0443596856218215;3391.02;
0.0443596856218215;3439.01;
0.0443596856218215;3486.99;
0.0443596856218215;3534.98;
0.0471613499768839;3566.97;
0.0471613499768839;3630.95;
0.0471613499768839;3662.94;
0.0471613499768839;3710.93;
0.0471613499768839;3726.92;
0.0471613499768839;3774.91;
0.0471613499768839;3854.89;
0.0499630143319464;3790.9;
0.0499630143319464;3822.89;
0.0499630143319464;3822.89;
0.0499630143319464;3870.88;
0.0499630143319464;3886.88;
0.0499630143319464;3902.87;
0.0499630143319464;3934.86;
